days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,17,1,0,1,0
2,17,1,0,1,0
3,13,4,0,2,0
4,11,6,0,2,0
5,10,7,0,2,0
6,7,7,0,5,0
7,7,7,0,5,0
8,7,7,0,4,1
9,7,7,0,4,1
10,5,9,0,4,1
11,4,7,1,6,1
12,4,3,1,9,2
13,3,4,1,9,2
14,3,4,1,6,5
15,3,2,1,8,5
16,3,1,1,9,5
17,3,1,1,9,5
18,2,1,2,9,5
19,1,2,2,8,6
20,1,1,3,5,9
21,0,1,4,4,10
22,0,1,4,4,10
23,0,1,4,3,11
24,0,1,3,3,12
25,0,1,3,2,13
26,0,0,4,1,14
27,0,0,4,0,15
28,0,0,2,0,17
29,0,0,2,0,17
30,0,0,2,0,17
31,0,0,2,0,17
32,0,0,2,0,17
33,0,0,1,0,18
34,0,0,1,0,18
